,Staphylococcus,Streptococcus,Veillonella,Prevotella,Streptococcus,Pseudomonas,Streptococcus,Rothia,Neisseria,Actinomyces,Prevotella,Pasteurellaceae_unclassified,Gemella,Parvimonas,Rothia,Fusobacterium,Porphyromonas,Lactobacillales_unclassified,Haemophilus,Prevotella,Actinomyces,Leptotrichia,Streptococcus,Fusobacterium,Veillonella,Atopobium,Actinomyces,Prevotellaceae_unclassified,Fusobacterium,Firmicutes_unclassified,Prevotella,Capnocytophaga,Prevotellaceae_unclassified,Porphyromonas,Peptostreptococcus,Bifidobacterium,Burkholderia,Burkholderia,Capnocytophaga,Prevotella,Prevotella,Streptococcus,Megasphaera,Alloprevotella,Stomatobaculum,Stenotrophomonas,Prevotella,Scardovia,Prevotella,Lachnoanaerobaculum,Prevotella,Oribacterium,Leptotrichia,Prevotella,Bacteroidetes_unclassified,Solobacterium,Achromobacter,Prevotella
J0155,7.77E-05,0.080814014,0.146900805,0.088112842,0.170464361,0.000803303,0.132545002,0.151798362,0.000380057,0.027735549,0.004724804,0.000138203,0.010002419,0.000172753,0.025463843,0,0,0.02184466,0.000224579,0.000250492,0.02466054,0,0.000285043,0.005493556,0.000734202,0.010304737,0.036459593,0,0,0,0.007342017,0.00218533,0.001485679,0,0.000120927,8.64E-06,0,0,0.003351415,0,0.002712227,0.000120927,0.005070311,0,0.003429154,0.003308227,0,0.005234426,0,0.000250492,0,0,0,0,0,0,8.64E-06,0
J0162,0.114197437,6.06E-05,0.179535335,0.143852422,0.022718323,6.06E-05,3.03E-05,0.000121164,0.174234393,0.002150668,0.016175446,0.052827674,0,0,0,0.000454366,0,3.03E-05,0.009420531,0,0.000848151,0.082300912,0.000212038,0.04692091,3.03E-05,0.000575531,0,0,0,0,0,0.058552691,0,0,0,0,0,0,0.00027262,0,0,3.03E-05,0,0,0,3.03E-05,3.03E-05,0,0,0.000181747,0,0.000333202,0.029230909,0,0.028503923,0,0.000151455,0
J0168,0.350515464,0.004217432,0.14995314,0.005154639,0.011246485,0,0.000468604,0.003748828,0,0.000468604,0.326148079,0,0,0,0,0,0,0,0,0,0.004686036,0,0.089034677,0,0,0,0.009372071,0.008903468,0,0,0,0,0,0,0,0,0,0,0,0.000937207,0,0.000468604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031396439,0
J0180,0,0.023660404,0.00487126,0.274182324,0,0.362560891,0,0.034098817,0,0.121085595,0,0,0,0,0.015309673,0,0,0.000695894,0,0,0,0,0.01809325,0,0.00487126,0.011134308,0,0,0,0,0,0,0.045929019,0.002783577,0,0,0,0,0.002087683,0,0.03131524,0,0,0,0.025052192,0,0,0,0,0.002783577,0,0,0,0,0,0.011134308,0,0
J0230,0,0.130942452,0.057547957,0.014178482,0.038365304,0.623853211,0.025020851,0.023352794,0.014178482,0.001668057,0,0,0.020850709,0,0.006672227,0,0,0.013344454,0,0,0.019182652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000834028,0,0,0,0,0.000834028,0,0,0,0,0,0,0,0,0,0
J0232,0.217228464,0.064740503,0.107544141,0.084269663,0.05564473,0,0.068753344,0.032370251,0.023006956,0.027554842,0.002407705,0.045746388,0.010968432,0.001070091,0.004012841,0.002140182,0.000267523,0.026217228,0.003210273,0,0.006955591,0,0.000535045,0.006955591,0,0.006153023,0.017924024,0,0,0,0.002140182,0,0.002140182,0.01070091,0,0.032637774,0,0,0.000535045,0.000267523,0.004280364,0,0.021669342,0.001070091,0.005617978,0,0,0.000535045,0.000535045,0.000267523,0.000535045,0.001337614,0.015783842,0.001070091,0.000267523,0,0,0
J0242,0.274070426,0.016498399,0.034474267,0.173602561,0.215956661,0.038906673,0.012558483,0.023639498,0,0.000738734,0.003693672,0,0,0,0.006894853,0.003201182,0,0,0,0.001477469,0.002954937,0,0,0.005909874,0.01083477,0.000246245,0,0,0,0.001231224,0,0.042600345,0.030780596,0.010588525,0.001477469,0,0,0,0.030041862,0.011327259,0.001723713,0.000246245,0.00049249,0.003201182,0,0,0.002708692,0,0.003693672,0,0,0.000246245,0,0.001231224,0,0.000246245,0,0.001231224
J0246,0,0.00862069,0.004310345,0.01645768,0.082092476,0.000195925,0.102860502,0.034678683,0,0.000587774,0,0.000195925,0.048785266,0,0.002351097,0,0,0.009796238,0,0,0,0,0,0,0,0.002351097,0,0,0,0,0,0,0,0,0,0,0.683777429,0,0,0,0,0,0,0,0,0,0,0.002155172,0,0,0,0,0,0,0,0,0,0
J0260,0.706690349,0.026050918,0.02214328,0.017998816,0.018117229,0.096506809,0.060272351,0.00615749,0,0.012433393,0.00035524,0.001420959,0.003907638,0,0.001420959,0,0,0.004144464,0,0,0.000828893,0.000118413,0.000118413,0.000118413,0.00035524,0.000592066,0.000118413,0,0,0.000118413,0.000236827,0,0,0.003197158,0,0,0,0.000118413,0,0.001302546,0.001065719,0,0.001184133,0,0.00071048,0,0.002605092,0.000118413,0.000118413,0.000118413,0,0.000947306,0.000236827,0,0,0.000592066,0,0
J0264,0.071020926,0.197632636,0.033185373,0.067216233,0.028957937,0.055590784,0.008666244,0.030860283,0,0.024941873,0.086239696,0.010779962,0.010991334,0,0.00232509,0,0.017755231,0.00465018,0.005072923,0,0.002536462,0,0.001902346,0.074825618,0,0.006552526,0,0,0,0,0,0.002536462,0,0,0.04459945,0.000422744,0,0,0.002959205,0,0,0.017755231,0,0.003381949,0.00232509,0.000211372,0,0,0.082857747,0.000422744,0,0.001690974,0,0,0.000211372,0.010357218,0,0
